web-scraper-order,web-scraper-start-url,arrticles_link,arrticles_link-href,details,etat,adresse,prix,image_link,image_link-href
"1738941281-1","https://www.expat-dakar.com/equipements-pieces?page=5","Bras de Suspension Avant
                                Neuf
                                                                                    VDN,
                                                                                Dakar
                                    
                                        lundi, 08:44
                                    
                    90 000 F Cfa
                        
                        784395171","https://www.expat-dakar.com/annonce/bras-de-suspension-avant-6266147","Bras de Suspension Avant","Neuf","VDN
            
                Dakar","90 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941284-2","https://www.expat-dakar.com/equipements-pieces?page=5","Amortisseur Arrière
                                Neuf
                                                                                    VDN,
                                                                                Dakar
                                    
                                        lundi, 08:44
                                    
                    70 000 F Cfa
                        
                        784395171","https://www.expat-dakar.com/annonce/amortisseur-arriere-6266146","Amortisseur Arrière","Neuf","VDN
            
                Dakar","70 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941286-3","https://www.expat-dakar.com/equipements-pieces?page=5","Amortisseur Avant
                                Neuf
                                                                                    VDN,
                                                                                Dakar
                                    
                                        lundi, 08:46
                                    
                    120 000 F Cfa
                        
                        784395171","https://www.expat-dakar.com/annonce/amortisseur-avant-6266142","Amortisseur Avant","Neuf","VDN
            
                Dakar","120 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941288-4","https://www.expat-dakar.com/equipements-pieces?page=5","Tapis de sol repose pied avec logo de votre voiture
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        lundi, 10:00
                                    
                    15 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/tapis-de-sol-repose-pied-avec-logo-de-votre-voiture-5726001","Tapis de sol repose pied avec logo de votre voiture","Neuf","Grand-Dakar
            
                Dakar","15 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941291-5","https://www.expat-dakar.com/equipements-pieces?page=5","Casque SHARK M
                                D'occasion
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        lundi, 23:28
                                    
                    30 000 F Cfa
                        
                        777057796","https://www.expat-dakar.com/annonce/casque-shark-m-6266932","Casque SHARK M","D'occasion","Plateau
            
                Dakar","30 000 F Cfa","",""
"1738941293-6","https://www.expat-dakar.com/equipements-pieces?page=5","Programmation, relooking, configuration de clés autos
                                Neuf
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        mardi, 08:03
                                    
                    10 F Cfa
                        
                        776566000
                    
                        769258800
                    
                        778580391","https://www.expat-dakar.com/annonce/programmation-relooking-configuration-de-cles-autos-3501255","Programmation, relooking, configuration de clés autos","Neuf","Patte d‘oie
            
                Dakar","10 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941296-7","https://www.expat-dakar.com/equipements-pieces?page=5","Plaquette Frein
                                
                                                                                    Médina,
                                                                                Dakar
                                    
                                        mardi, 11:45
                                    
                        781803232
                    
                        776132532
                    
                        776132532","https://www.expat-dakar.com/annonce/plaquette-frein-2783856","Plaquette Frein","","Médina
            
                Dakar","","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941298-8","https://www.expat-dakar.com/equipements-pieces?page=5","Frigo portable voiture froid ou chaud 6Littres 12V
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        mardi, 12:27
                                    
                    25 000 F Cfa
                        
                        778045555
                    
                        762693939","https://www.expat-dakar.com/annonce/frigo-portable-voiture-froid-ou-chaud-6littres-12v-6235399","Frigo portable voiture froid ou chaud 6Littres 12V","Neuf","Plateau
            
                Dakar","25 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941300-9","https://www.expat-dakar.com/equipements-pieces?page=5","Frigo portable pour voiture 2 en 1 chaud et froid de 7.5 L
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        mardi, 12:42
                                    
                    30 000 F Cfa
                        
                        778045555
                    
                        762693939","https://www.expat-dakar.com/annonce/frigo-portable-pour-voiture-2-en-1-chaud-et-froid-de-75-l-6267566","Frigo portable pour voiture 2 en 1 chaud et froid de 7.5 L","Neuf","Plateau
            
                Dakar","30 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941303-10","https://www.expat-dakar.com/equipements-pieces?page=5","Moteur V8 Chevrolet Essence avec boite automatique
                                D'occasion
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        mardi, 22:50
                                    
                    700 000 F Cfa
                        
                        776559046","https://www.expat-dakar.com/annonce/moteur-v8-chevrolet-essence-avec-boite-automatique-6267939","Moteur V8 Chevrolet Essence avec boite automatique","D'occasion","Patte d‘oie
            
                Dakar","700 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
